device=NVIDIA RTX A6000
seed=0x20260618
iters=80,warmup_iters=15,trials=5,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.022676,4.037,0.001653,55.379,0.009265,9.881,0.001700,53.842,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.013975,26.204,0.001938,188.924,0.016600,22.060,0.001935,189.276,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.010693,136.993,0.002176,673.306,0.011177,131.056,0.002158,678.797,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.012062,485.771,0.003425,1710.667,0.015199,385.506,0.003248,1803.995,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.018995,1233.864,0.014493,1617.182,0.017652,1327.783,0.014342,1634.141,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.078048,1201.178,0.077090,1216.117,0.077797,1205.062,0.076880,1219.433,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.012776,2.687,0.001496,22.943,0.017401,1.973,0.001509,22.755,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.020420,6.725,0.001659,82.768,0.017687,7.764,0.001646,83.412,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.021198,25.913,0.001824,301.226,0.018536,29.634,0.001885,291.384,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.032661,67.275,0.002782,789.702,0.028188,77.951,0.002794,786.310,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.021744,404.214,0.006569,1337.920,0.015615,562.853,0.006584,1334.831,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.032288,1088.820,0.031330,1122.127,0.032422,1084.333,0.031419,1118.942,-1.000000,0.000,-1.000000,0.000,-1,-1
