device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=256,elements_per_thread=8
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.008935,0.011469,2406.7,14.4
2,0.008726,0.010072,4928.9,29.6
4,0.008286,0.008705,10380.4,62.3
8,0.008494,0.008776,20254.3,121.5
16,0.008277,0.009600,41567.7,249.4
32,0.008726,0.011693,78859.5,473.2
64,0.014858,0.015307,92624.8,555.7
128,0.026709,0.026730,103054.8,618.3
256,0.051107,0.051231,107716.1,646.3
512,0.098488,0.098552,111790.8,670.7
1024,0.194077,0.194277,113460.5,680.8
