device=NVIDIA RTX A6000
seed=0x20260618
iters=50,warmup_iters=10,trials=3,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.012966,7.061,0.001824,50.193,0.011054,8.282,0.001823,50.211,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.012769,28.679,0.002043,179.262,0.020001,18.310,0.002037,179.769,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.021048,69.596,0.002387,613.789,0.010796,135.682,0.002436,601.213,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.013277,441.303,0.003503,1672.502,0.012045,486.465,0.003722,1574.424,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.015930,1471.258,0.014710,1593.330,0.018288,1281.578,0.014860,1577.204,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.077256,1213.503,0.076358,1227.773,0.076680,1222.619,0.075537,1241.120,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.021162,1.622,0.001631,21.053,0.019238,1.785,0.001618,21.220,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.027190,5.051,0.001689,81.310,0.017320,7.929,0.001706,80.517,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.011064,49.650,0.001823,301.372,0.015487,35.469,0.001911,287.444,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.021612,101.668,0.003020,727.687,0.018754,117.163,0.003035,724.004,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.015540,565.583,0.007237,1214.442,0.016005,549.141,0.008127,1081.502,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.031839,1104.198,0.030909,1137.419,0.032083,1095.806,0.031260,1124.657,-1.000000,0.000,-1.000000,0.000,-1,-1
