device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=64x128x64,gate_up_warp=32x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.661907,0.662278,0.70
down,1,0.332298,0.332969,0.70
gate_up,2,0.662490,0.662582,1.40
down,2,0.332170,0.332771,1.39
gate_up,4,0.663190,0.663322,2.79
down,4,0.332016,0.332674,2.79
gate_up,8,0.663926,0.664165,5.57
down,8,0.332678,0.333059,5.56
gate_up,16,0.665507,0.665645,11.12
down,16,0.332499,0.333037,11.13
gate_up,32,0.669037,0.669220,22.12
down,32,0.333232,0.333389,22.20
gate_up,64,0.674563,0.674771,43.87
down,64,0.335501,0.335558,44.11
gate_up,128,0.712211,0.714071,83.11
down,128,0.343904,0.352286,86.06
gate_up,256,1.287344,1.303060,91.96
down,256,0.510800,0.515796,115.88
gate_up,512,2.705629,2.732323,87.51
down,512,0.983488,0.983597,120.37
gate_up,1024,5.628810,5.642752,84.12
down,1024,1.897581,1.917658,124.77
