device=NVIDIA RTX A6000
shape=width512,max_rows=8192,seed=0x20260618
iters=100,warmup_iters=20,trials=5
cudnn_frontend=not_compiled
rows,rms_ms,rms_gib_s,rms_graph_kernel_ms,rms_graph_kernel_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_kernel_ms,cudnn_graph_kernel_gib_s,cudnn_max_abs,scale_free_ms,scale_free_gib_s,scale_free_graph_kernel_ms,scale_free_graph_kernel_gib_s,cudnn_one_scale_ms,cudnn_one_scale_gib_s,cudnn_one_scale_graph_kernel_ms,cudnn_one_scale_graph_kernel_gib_s,cudnn_one_scale_max_abs,scale_free_vs_cudnn_one_scale,residual_ms,fused_ms,split_ms,fused_vs_split,fused_graph_kernel_ms,split_graph_kernel_ms,fused_graph_vs_split_graph,cudnn_split_ms,cudnn_split_graph_ms,fused_vs_cudnn_split,cudnn_split_max_abs
1,0.012704,0.225,0.001777,1.610,-1.000000,0.000,-1.000000,0.000,-1,0.013287,0.144,0.001617,1.180,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.012637,-1.000000,0.021683,-1.000,-1.000000,0.002906,-1.000,-1.000000,-1.000000,-1.000,-1
4,0.012187,0.939,0.001831,6.249,-1.000000,0.000,-1.000000,0.000,-1,0.010023,0.761,0.001668,4.573,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.007964,-1.000000,0.021464,-1.000,-1.000000,0.003051,-1.000,-1.000000,-1.000000,-1.000,-1
16,0.010462,4.376,0.001888,24.242,-1.000000,0.000,-1.000000,0.000,-1,0.010588,2.882,0.001647,18.529,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008122,-1.000000,0.019573,-1.000,-1.000000,0.003147,-1.000,-1.000000,-1.000000,-1.000,-1
64,0.013059,14.022,0.001908,95.943,-1.000000,0.000,-1.000000,0.000,-1,0.012156,10.042,0.001674,72.925,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.009084,-1.000000,0.023653,-1.000,-1.000000,0.003111,-1.000,-1.000000,-1.000000,-1.000,-1
256,0.011031,66.395,0.002368,309.342,-1.000000,0.000,-1.000000,0.000,-1,0.011582,42.160,0.001760,277.483,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.005795,-1.000000,0.025107,-1.000,-1.000000,0.003863,-1.000,-1.000000,-1.000000,-1.000,-1
1024,0.012550,233.440,0.002827,1036.250,-1.000000,0.000,-1.000000,0.000,-1,0.013773,141.810,0.002161,903.957,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.010384,-1.000000,0.022222,-1.000,-1.000000,0.005037,-1.000,-1.000000,-1.000000,-1.000,-1
4096,0.013586,862.566,0.011072,1058.413,-1.000000,0.000,-1.000000,0.000,-1,0.012219,639.363,0.010977,711.697,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.018652,-1.000000,0.028772,-1.000,-1.000000,0.026278,-1.000,-1.000000,-1.000000,-1.000,-1
8192,0.026975,868.859,0.026021,900.722,-1.000000,0.000,-1.000000,0.000,-1,0.026737,584.390,0.025831,604.892,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.038744,-1.000000,0.063379,-1.000,-1.000000,0.061377,-1.000,-1.000000,-1.000000,-1.000,-1
