device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=512,elements_per_thread=2
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.006918,0.011762,3108.2,18.6
2,0.007329,0.009785,5868.4,35.2
4,0.008660,0.009117,9932.6,59.6
8,0.008803,0.008849,19542.9,117.3
16,0.008815,0.011866,39032.5,234.2
32,0.008512,0.009966,80838.3,485.0
64,0.014114,0.014534,97512.8,585.1
128,0.026284,0.026320,104722.0,628.3
256,0.050084,0.050111,109914.9,659.5
512,0.097457,0.097569,112973.6,677.8
1024,0.191959,0.192227,114712.4,688.3
