device=NVIDIA RTX A6000
shape=width256,max_rows=8192,seed=0x20260618
iters=300,warmup_iters=50,trials=7
cudnn_frontend=not_compiled
rows,rms_ms,rms_gib_s,rms_graph_kernel_ms,rms_graph_kernel_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_kernel_ms,cudnn_graph_kernel_gib_s,cudnn_max_abs,scale_free_ms,scale_free_gib_s,scale_free_graph_kernel_ms,scale_free_graph_kernel_gib_s,cudnn_one_scale_ms,cudnn_one_scale_gib_s,cudnn_one_scale_graph_kernel_ms,cudnn_one_scale_graph_kernel_gib_s,cudnn_one_scale_max_abs,scale_free_vs_cudnn_one_scale,residual_ms,fused_ms,split_ms,fused_vs_split,fused_graph_kernel_ms,split_graph_kernel_ms,fused_graph_vs_split_graph,cudnn_split_ms,cudnn_split_graph_ms,fused_vs_cudnn_split,cudnn_split_max_abs
1,0.009532,0.150,0.001438,0.995,-1.000000,0.000,-1.000000,0.000,-1,0.007038,0.136,0.001274,0.748,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.007914,-1.000000,0.017415,-1.000,-1.000000,0.002453,-1.000,-1.000000,-1.000000,-1.000,-1
4,0.009758,0.586,0.001457,3.927,-1.000000,0.000,-1.000000,0.000,-1,0.010376,0.368,0.001296,2.943,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008715,-1.000000,0.015106,-1.000,-1.000000,0.002490,-1.000,-1.000000,-1.000000,-1.000,-1
16,0.011769,1.945,0.001510,15.161,-1.000000,0.000,-1.000000,0.000,-1,0.008611,1.772,0.001357,11.242,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.007566,-1.000000,0.019870,-1.000,-1.000000,0.002637,-1.000,-1.000000,-1.000000,-1.000,-1
64,0.008743,10.471,0.001519,60.287,-1.000000,0.000,-1.000000,0.000,-1,0.010793,5.655,0.001357,44.967,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008359,-1.000000,0.011717,-1.000,-1.000000,0.002654,-1.000,-1.000000,-1.000000,-1.000,-1
256,0.008259,44.341,0.001566,233.855,-1.000000,0.000,-1.000000,0.000,-1,0.009670,25.248,0.001379,176.989,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.010862,-1.000000,0.017319,-1.000,-1.000000,0.002766,-1.000,-1.000000,-1.000000,-1.000,-1
1024,0.008040,182.187,0.001876,780.634,-1.000000,0.000,-1.000000,0.000,-1,0.009221,105.903,0.001655,589.940,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008498,-1.000000,0.017146,-1.000,-1.000000,0.003459,-1.000,-1.000000,-1.000000,-1.000,-1
4096,0.009108,643.326,0.003321,1764.419,-1.000000,0.000,-1.000000,0.000,-1,0.008382,466.054,0.002449,1594.787,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008439,-1.000000,0.019825,-1.000,-1.000000,0.012116,-1.000,-1.000000,-1.000000,-1.000,-1
8192,0.011713,1000.513,0.010765,1088.607,-1.000000,0.000,-1.000000,0.000,-1,0.011552,676.315,0.010804,723.087,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.018423,-1.000000,0.026652,-1.000,-1.000000,0.025340,-1.000,-1.000000,-1.000000,-1.000,-1
