device=NVIDIA RTX A6000
seed=0x20260618
iters=50,warmup_iters=10,trials=3,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.010990,8.330,0.001827,50.123,0.011496,7.964,0.001824,50.193,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.014112,25.950,0.002019,181.364,0.013928,26.293,0.002004,182.696,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.013210,110.892,0.002527,579.741,0.012739,114.993,0.002840,515.732,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.011603,505.007,0.005025,1166.128,0.014380,407.481,0.005468,1071.670,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.018300,1280.771,0.017644,1328.343,0.019583,1196.846,0.018616,1259.019,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.080698,1161.735,0.079217,1183.454,0.079884,1173.584,0.079045,1186.032,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.010937,3.139,0.001700,20.190,0.011719,2.930,0.001729,19.861,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.012746,10.775,0.001834,74.870,0.009661,14.214,0.001787,76.854,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.016908,32.489,0.002072,265.073,0.010367,52.985,0.002128,258.137,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.013506,162.689,0.004171,526.811,0.011587,189.639,0.004710,466.535,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.017804,493.652,0.012041,729.930,0.014450,608.243,0.013900,632.329,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.050326,698.565,0.049341,712.519,0.054067,650.240,0.053201,660.816,-1.000000,0.000,-1.000000,0.000,-1,-1
