device=NVIDIA RTX A6000
iters=120,warmup=25,trials=7,max_rows=1024
threads=128,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.012490,0.013656,1721.7,10.3
2,0.013428,0.016796,3202.8,19.2
4,0.013272,0.013436,6480.9,38.9
8,0.012034,0.015161,14295.0,85.8
16,0.013297,0.014000,25875.2,155.3
32,0.013555,0.013719,50763.9,304.6
64,0.013923,0.013964,98850.0,593.1
128,0.026206,0.026260,105033.1,630.2
256,0.049905,0.049933,110309.9,661.9
512,0.097261,0.097308,113201.0,679.2
1024,0.191291,0.191570,115113.0,690.7
