device=NVIDIA RTX A6000
iters=120,warmup=25,trials=7,max_rows=1024
threads=256,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.007947,0.010900,2705.9,16.2
2,0.010174,0.011847,4227.4,25.4
4,0.008845,0.011167,9725.0,58.4
8,0.008513,0.011323,20207.4,121.2
16,0.007975,0.011150,43143.2,258.9
32,0.009390,0.011394,73282.0,439.7
64,0.014003,0.014219,98281.5,589.7
128,0.026454,0.026555,104047.4,624.3
256,0.050058,0.050126,109973.8,659.8
512,0.097550,0.097607,112865.8,677.2
1024,0.191971,0.192194,114705.4,688.2
