device=NVIDIA RTX A6000
seed=0x20260618
iters=80,warmup_iters=15,trials=5,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.015972,5.732,0.001646,55.608,0.018427,4.968,0.001677,54.587,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.022172,16.517,0.001787,204.908,0.016682,21.953,0.001811,202.237,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.017225,85.041,0.002217,660.673,0.012677,115.553,0.002181,671.577,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.013562,432.056,0.003274,1789.887,0.018662,313.967,0.003262,1796.252,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.015265,1535.355,0.014033,1670.194,0.015289,1532.985,0.014106,1661.480,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.076872,1219.553,0.075863,1235.777,0.076131,1231.433,0.075198,1246.715,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.011096,3.094,0.001506,22.791,0.012710,2.701,0.001537,22.340,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.012396,11.078,0.001528,89.899,0.019244,7.136,0.001524,90.135,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.021066,26.076,0.001588,346.004,0.018943,28.998,0.001593,344.875,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.016890,130.093,0.002682,819.386,0.012144,180.940,0.002657,826.910,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.013249,663.386,0.006662,1319.204,0.019807,443.731,0.006672,1317.385,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.030645,1147.202,0.029741,1182.072,0.030763,1142.817,0.029744,1181.961,-1.000000,0.000,-1.000000,0.000,-1,-1
