device=NVIDIA RTX A6000
seed=0x20260618
iters=50,warmup_iters=10,trials=3,max_seq=1024,batch=1,cos_batch=1,run_cudnn=0
cudnn_op_tensor=skipped
case,seq,q_heads,kv_heads,head_dim,rotary_dim,physical_ms,physical_gib_s,physical_graph_ms,physical_graph_gib_s,forward_ms,forward_gib_s,forward_graph_ms,forward_graph_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_ms,cudnn_graph_gib_s,cudnn_q_max_abs,cudnn_k_max_abs
sliding,1,32,16,256,256,0.016195,5.653,0.001713,53.457,0.014015,6.532,0.001733,52.825,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,4,32,16,256,256,0.037436,9.782,0.001793,204.213,0.018771,19.510,0.001808,202.550,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,16,32,16,256,256,0.022951,63.825,0.002190,668.854,0.029406,49.814,0.002223,659.032,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,64,32,16,256,256,0.017068,343.293,0.003344,1752.205,0.014369,407.789,0.003327,1760.968,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,256,32,16,256,256,0.015540,1508.158,0.014621,1603.025,0.015433,1518.665,0.014396,1628.111,-1.000000,0.000,-1.000000,0.000,-1,-1
sliding,1024,32,16,256,256,0.077125,1215.557,0.076142,1231.251,0.076289,1228.885,0.075329,1244.536,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1,32,4,512,128,0.013944,2.462,0.001672,20.538,0.019277,1.781,0.001535,22.361,-1.000000,0.000,-1.000000,0.000,-1,-1
global,4,32,4,512,128,0.022356,6.143,0.001558,88.158,0.015049,9.125,0.001683,81.619,-1.000000,0.000,-1.000000,0.000,-1,-1
global,16,32,4,512,128,0.021153,25.968,0.001819,302.008,0.017714,31.010,0.001637,335.538,-1.000000,0.000,-1.000000,0.000,-1,-1
global,64,32,4,512,128,0.013339,164.726,0.002684,818.800,0.015637,140.516,0.002694,815.687,-1.000000,0.000,-1.000000,0.000,-1,-1
global,256,32,4,512,128,0.021248,413.642,0.006579,1336.016,0.019640,447.516,0.006664,1318.950,-1.000000,0.000,-1.000000,0.000,-1,-1
global,1024,32,4,512,128,0.030693,1145.411,0.029682,1184.433,0.030608,1148.597,0.029633,1186.377,-1.000000,0.000,-1.000000,0.000,-1,-1
