device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=128,elements_per_thread=2
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.010266,0.011656,2094.7,12.6
2,0.011749,0.012185,3660.5,22.0
4,0.010890,0.012512,7898.3,47.4
8,0.008126,0.010526,21170.6,127.0
16,0.008598,0.009410,40014.9,240.1
32,0.008557,0.011305,80418.8,482.5
64,0.013616,0.016237,101079.4,606.5
128,0.026096,0.026121,105474.8,632.8
256,0.050062,0.050165,109965.0,659.8
512,0.097397,0.097425,113042.8,678.3
1024,0.192053,0.192153,114656.2,687.9
