device=NVIDIA RTX A6000
shape=hidden5376,vocab262144,embedding_bytes=2818572288,out_max_tokens=8192
contract=embedding_gather_microbenchmark timing=CUDA_event_gpu_timeline cache_mode=cold l2_flush_bytes=134217728 launch_overhead=queued_launches_only host_wall_time=excluded stability_scope=single_process min_effect_for_claim_pct=5 iters=50 warmup=10 trials=11
tokens,min_ms,median_ms,avg_ms,max_ms,median_effective_gib_s,effective_mib,samples_ms
1,0.005229,0.005267,0.005262,0.005293,3.803,0.021,0.005281;0.005272;0.005285;0.005267;0.005288;0.005233;0.005244;0.005253;0.005293;0.005229;0.005238
4,0.005302,0.005349,0.005546,0.007348,14.976,0.082,0.005327;0.005370;0.005334;0.005302;0.005506;0.007348;0.005309;0.005331;0.005349;0.005414;0.005417
16,0.005548,0.005658,0.005689,0.005873,56.638,0.328,0.005577;0.005646;0.005592;0.005873;0.005680;0.005658;0.005548;0.005649;0.005742;0.005745;0.005867
64,0.006652,0.006733,0.006773,0.007056,190.354,1.312,0.006783;0.006794;0.006733;0.006714;0.006692;0.006652;0.006892;0.006790;0.006721;0.007056;0.006677
256,0.013059,0.013184,0.013173,0.013281,388.877,5.250,0.013281;0.013184;0.013235;0.013175;0.013090;0.013116;0.013059;0.013069;0.013210;0.013258;0.013231
1024,0.037517,0.037646,0.037634,0.037692,544.753,21.000,0.037622;0.037646;0.037557;0.037654;0.037686;0.037692;0.037517;0.037620;0.037633;0.037673;0.037671
4096,0.134152,0.134267,0.134281,0.134378,610.957,84.000,0.134258;0.134188;0.134372;0.134243;0.134323;0.134294;0.134152;0.134267;0.134264;0.134348;0.134378
8192,0.263861,0.263985,0.263995,0.264351,621.485,168.000,0.263861;0.264001;0.263866;0.264053;0.263901;0.264109;0.263997;0.263867;0.263985;0.264351;0.263951
