device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=256,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.007632,0.008103,2817.6,16.9
2,0.007534,0.019879,5708.5,34.3
4,0.007840,0.011526,10972.0,65.8
8,0.008302,0.012714,20721.8,124.3
16,0.008708,0.010480,39513.1,237.1
32,0.008700,0.010199,79095.2,474.6
64,0.014018,0.015036,98177.8,589.1
128,0.026275,0.026313,104758.6,628.6
256,0.050068,0.050093,109950.9,659.7
512,0.097621,0.097641,112783.8,676.7
1024,0.192771,0.192839,114229.2,685.4
