device=NVIDIA RTX A6000
shape=width512,max_rows=8192,seed=0x20260618
iters=100,warmup_iters=20,trials=5
cudnn_frontend=not_compiled
rows,rms_ms,rms_gib_s,rms_graph_kernel_ms,rms_graph_kernel_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_kernel_ms,cudnn_graph_kernel_gib_s,cudnn_max_abs,scale_free_ms,scale_free_gib_s,scale_free_graph_kernel_ms,scale_free_graph_kernel_gib_s,cudnn_one_scale_ms,cudnn_one_scale_gib_s,cudnn_one_scale_graph_kernel_ms,cudnn_one_scale_graph_kernel_gib_s,cudnn_one_scale_max_abs,scale_free_vs_cudnn_one_scale,residual_ms,fused_ms,split_ms,fused_vs_split,fused_graph_kernel_ms,split_graph_kernel_ms,fused_graph_vs_split_graph,cudnn_split_ms,cudnn_split_graph_ms,fused_vs_cudnn_split,cudnn_split_max_abs
1,0.010487,0.273,0.001665,1.718,-1.000000,0.000,-1.000000,0.000,-1,0.008631,0.221,0.001477,1.292,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008066,-1.000000,0.015108,-1.000,-1.000000,0.002684,-1.000,-1.000000,-1.000000,-1.000,-1
4,0.010452,1.095,0.001700,6.730,-1.000000,0.000,-1.000000,0.000,-1,0.007867,0.970,0.001532,4.978,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.005034,-1.000000,0.018600,-1.000,-1.000000,0.002851,-1.000,-1.000000,-1.000000,-1.000,-1
16,0.009972,4.591,0.001772,25.840,-1.000000,0.000,-1.000000,0.000,-1,0.010024,3.044,0.001538,19.848,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.006420,-1.000000,0.020061,-1.000,-1.000000,0.002832,-1.000,-1.000000,-1.000000,-1.000,-1
64,0.008343,21.946,0.001902,96.282,-1.000000,0.000,-1.000000,0.000,-1,0.011045,11.052,0.001542,79.160,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.005091,-1.000000,0.016514,-1.000,-1.000000,0.003059,-1.000,-1.000000,-1.000000,-1.000,-1
256,0.009428,77.690,0.002335,313.623,-1.000000,0.000,-1.000000,0.000,-1,0.009405,51.917,0.001714,284.892,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.006716,-1.000000,0.014156,-1.000,-1.000000,0.003658,-1.000,-1.000000,-1.000000,-1.000,-1
1024,0.010925,268.169,0.002679,1093.559,-1.000000,0.000,-1.000000,0.000,-1,0.009509,205.402,0.002057,949.668,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008179,-1.000000,0.010824,-1.000,-1.000000,0.004853,-1.000,-1.000000,-1.000000,-1.000,-1
4096,0.012819,914.202,0.011143,1051.635,-1.000000,0.000,-1.000000,0.000,-1,0.011759,664.382,0.011165,699.744,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.018565,-1.000000,0.033003,-1.000,-1.000000,0.026507,-1.000,-1.000000,-1.000000,-1.000,-1
8192,0.026931,870.294,0.026033,900.312,-1.000000,0.000,-1.000000,0.000,-1,0.027106,576.436,0.026152,597.476,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.038805,-1.000000,0.064258,-1.000,-1.000000,0.062274,-1.000,-1.000000,-1.000000,-1.000,-1
