device=NVIDIA RTX A6000
shape=width256,max_rows=8192,seed=0x20260618
iters=100,warmup_iters=20,trials=5
cudnn_frontend=not_compiled
rows,rms_ms,rms_gib_s,rms_graph_kernel_ms,rms_graph_kernel_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_kernel_ms,cudnn_graph_kernel_gib_s,cudnn_max_abs,scale_free_ms,scale_free_gib_s,scale_free_graph_kernel_ms,scale_free_graph_kernel_gib_s,cudnn_one_scale_ms,cudnn_one_scale_gib_s,cudnn_one_scale_graph_kernel_ms,cudnn_one_scale_graph_kernel_gib_s,cudnn_one_scale_max_abs,scale_free_vs_cudnn_one_scale,residual_ms,fused_ms,split_ms,fused_vs_split,fused_graph_kernel_ms,split_graph_kernel_ms,fused_graph_vs_split_graph,cudnn_split_ms,cudnn_split_graph_ms,fused_vs_cudnn_split,cudnn_split_max_abs
1,0.008240,0.174,0.001538,0.930,-1.000000,0.000,-1.000000,0.000,-1,0.008165,0.117,0.001386,0.688,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.007132,-1.000000,0.013036,-1.000,-1.000000,0.002645,-1.000,-1.000000,-1.000000,-1.000,-1
4,0.008645,0.662,0.001566,3.654,-1.000000,0.000,-1.000000,0.000,-1,0.009509,0.401,0.001403,2.719,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008049,-1.000000,0.017129,-1.000,-1.000000,0.002775,-1.000,-1.000000,-1.000000,-1.000,-1
16,0.008303,2.756,0.001568,14.600,-1.000000,0.000,-1.000000,0.000,-1,0.006543,2.332,0.001382,11.043,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.007192,-1.000000,0.010544,-1.000,-1.000000,0.002814,-1.000,-1.000000,-1.000000,-1.000,-1
64,0.008114,11.283,0.001547,59.185,-1.000000,0.000,-1.000000,0.000,-1,0.008434,7.237,0.001340,45.565,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.007292,-1.000000,0.017146,-1.000,-1.000000,0.002820,-1.000,-1.000000,-1.000000,-1.000,-1
256,0.009374,39.065,0.001716,213.390,-1.000000,0.000,-1.000000,0.000,-1,0.010636,22.953,0.001388,175.914,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.006501,-1.000000,0.016999,-1.000,-1.000000,0.002899,-1.000,-1.000000,-1.000000,-1.000,-1
1024,0.008624,169.850,0.001886,776.529,-1.000000,0.000,-1.000000,0.000,-1,0.005559,175.671,0.001619,603.233,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.006930,-1.000000,0.012428,-1.000,-1.000000,0.003584,-1.000,-1.000000,-1.000000,-1.000,-1
4096,0.009952,588.745,0.003025,1936.804,-1.000000,0.000,-1.000000,0.000,-1,0.007681,508.542,0.002372,1646.484,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.008118,-1.000000,0.018299,-1.000,-1.000000,0.012099,-1.000,-1.000000,-1.000000,-1.000,-1
8192,0.011498,1019.206,0.010813,1083.785,-1.000000,0.000,-1.000000,0.000,-1,0.011689,668.366,0.010298,758.672,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.018499,-1.000000,0.026729,-1.000,-1.000000,0.025439,-1.000,-1.000000,-1.000000,-1.000,-1
