device=NVIDIA RTX A6000
shape=width512,max_rows=8192,seed=0x20260618
iters=300,warmup_iters=50,trials=7
cudnn_frontend=not_compiled
rows,rms_ms,rms_gib_s,rms_graph_kernel_ms,rms_graph_kernel_gib_s,cudnn_ms,cudnn_gib_s,cudnn_graph_kernel_ms,cudnn_graph_kernel_gib_s,cudnn_max_abs,scale_free_ms,scale_free_gib_s,scale_free_graph_kernel_ms,scale_free_graph_kernel_gib_s,cudnn_one_scale_ms,cudnn_one_scale_gib_s,cudnn_one_scale_graph_kernel_ms,cudnn_one_scale_graph_kernel_gib_s,cudnn_one_scale_max_abs,scale_free_vs_cudnn_one_scale,residual_ms,fused_ms,split_ms,fused_vs_split,fused_graph_kernel_ms,split_graph_kernel_ms,fused_graph_vs_split_graph,cudnn_split_ms,cudnn_split_graph_ms,fused_vs_cudnn_split,cudnn_split_max_abs
1,0.011468,0.249,0.001694,1.689,-1.000000,0.000,-1.000000,0.000,-1,0.009369,0.204,0.001524,1.252,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.010498,-1.000000,0.019066,-1.000,-1.000000,0.002716,-1.000,-1.000000,-1.000000,-1.000,-1
4,0.009278,1.233,0.001713,6.679,-1.000000,0.000,-1.000000,0.000,-1,0.008997,0.848,0.001543,4.943,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.006676,-1.000000,0.017279,-1.000,-1.000000,0.002848,-1.000,-1.000000,-1.000000,-1.000,-1
16,0.008806,5.198,0.001735,26.385,-1.000000,0.000,-1.000000,0.000,-1,0.008614,3.543,0.001546,19.734,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.007153,-1.000000,0.017092,-1.000,-1.000000,0.002865,-1.000,-1.000000,-1.000000,-1.000,-1
64,0.008284,22.103,0.001886,97.072,-1.000000,0.000,-1.000000,0.000,-1,0.006400,19.073,0.001569,77.782,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.006889,-1.000000,0.016528,-1.000,-1.000000,0.003031,-1.000,-1.000000,-1.000000,-1.000,-1
256,0.007195,101.802,0.002384,307.224,-1.000000,0.000,-1.000000,0.000,-1,0.009469,51.569,0.001713,285.051,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.009032,-1.000000,0.023097,-1.000,-1.000000,0.003710,-1.000,-1.000000,-1.000000,-1.000,-1
1024,0.010532,278.180,0.002658,1102.027,-1.000000,0.000,-1.000000,0.000,-1,0.010479,186.393,0.002043,955.865,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.009521,-1.000000,0.017105,-1.000,-1.000000,0.004594,-1.000,-1.000000,-1.000000,-1.000,-1
4096,0.012218,959.119,0.010669,1098.435,-1.000000,0.000,-1.000000,0.000,-1,0.011809,661.556,0.011060,706.344,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.018533,-1.000000,0.028351,-1.000,-1.000000,0.026474,-1.000,-1.000000,-1.000000,-1.000,-1
8192,0.027120,864.218,0.026127,897.074,-1.000000,0.000,-1.000000,0.000,-1,0.027041,577.816,0.026025,600.393,-1.000000,0.000,-1.000000,0.000,-1,-1.000,0.038726,-1.000000,0.064253,-1.000,-1.000000,0.062124,-1.000,-1.000000,-1.000000,-1.000,-1
