device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=512,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.008688,0.010069,2475.3,14.9
2,0.008879,0.010364,4843.7,29.1
4,0.008003,0.020739,10748.2,64.5
8,0.008937,0.009630,19249.0,115.5
16,0.009464,0.012294,36353.5,218.1
32,0.008983,0.010890,76605.1,459.6
64,0.014224,0.014303,96755.9,580.5
128,0.026446,0.027401,104078.9,624.5
256,0.050384,0.050403,109261.3,655.6
512,0.098161,0.098187,112163.4,673.0
1024,0.193230,0.193567,113957.7,683.7
