device=NVIDIA RTX A6000
iters=10,warmup=3,trials=3,max_rows=1024
gate_up_tb=32x128x64,gate_up_warp=32x64,gate_up_stages=3
down_small_max_rows=128,down_small_tb=64x128x64,down_small_warp=32x64,down_small_stages=3
down_large_tb=128x128x64,down_large_warp=64x64,down_large_stages=3
op,rows,best_ms,avg_ms,tflops
gate_up,1,0.659910,0.685268,0.70
down,1,0.331155,0.331270,0.70
gate_up,2,0.660115,0.660416,1.40
down,2,0.330400,0.330788,1.40
gate_up,4,0.660739,0.661052,2.80
down,4,0.330992,0.331225,2.79
gate_up,8,0.662118,0.662429,5.59
down,8,0.331498,0.331596,5.58
gate_up,16,0.663949,0.664154,11.14
down,16,0.331779,0.332231,11.15
gate_up,32,0.667120,0.667422,22.18
down,32,0.332355,0.332591,22.26
gate_up,64,0.694288,0.694447,42.63
down,64,0.334784,0.334891,44.20
gate_up,128,0.977155,0.996490,60.57
down,128,0.340778,0.341462,86.85
gate_up,256,1.900032,1.965505,62.30
down,256,0.463155,0.466578,127.80
gate_up,512,4.162477,4.179904,56.88
down,512,0.877418,0.910656,134.92
gate_up,1024,8.425974,8.458455,56.20
down,1024,1.761606,1.913671,134.40
