device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=128,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.010732,0.013891,2003.7,12.0
2,0.010032,0.010753,4287.1,25.7
4,0.009180,0.011319,9369.5,56.2
8,0.006278,0.008774,27400.6,164.4
16,0.005605,0.006303,61383.0,368.3
32,0.006466,0.008333,106429.1,638.6
64,0.013928,0.014011,98815.0,592.9
128,0.026229,0.026282,104940.8,629.6
256,0.049954,0.049976,110201.0,661.2
512,0.097347,0.097359,113101.3,678.6
1024,0.191306,0.191408,115104.3,690.6
