device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=1024,elements_per_thread=1
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.008023,0.008471,2680.4,16.1
2,0.008867,0.009228,4850.5,29.1
4,0.008456,0.013029,10171.7,61.0
8,0.008915,0.010989,19297.3,115.8
16,0.009101,0.009236,37804.2,226.8
32,0.008938,0.009136,76985.6,461.9
64,0.016648,0.018405,82667.9,496.0
128,0.030477,0.030500,90315.0,541.9
256,0.058493,0.060789,94114.6,564.7
512,0.114276,0.114304,96346.1,578.1
1024,0.219101,0.220169,100502.1,603.0
