device=NVIDIA RTX A6000
iters=80,warmup=15,trials=5,max_rows=1024
threads=256,elements_per_thread=2
rows,best_ms,avg_ms,melem_s,effective_gb_s
1,0.007267,0.010403,2959.2,17.8
2,0.007878,0.008906,5459.0,32.8
4,0.008662,0.008978,9930.7,59.6
8,0.009028,0.011613,19056.2,114.3
16,0.009971,0.013433,34505.8,207.0
32,0.010188,0.012320,67540.3,405.2
64,0.013823,0.019014,99564.2,597.4
128,0.026150,0.026252,105257.0,631.5
256,0.049746,0.049756,110663.5,664.0
512,0.096948,0.096965,113566.5,681.4
1024,0.190812,0.190963,115402.0,692.4
