backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
tuna,sliding_o,wmma_16x16,16,8192,5376,0.1359,0.1623,0.837,8.68,0.015625
tuna,sliding_o,wmma_16x16,32,8192,5376,0.1366,0.1735,0.787,16.25,0.0
tuna,sliding_o,wmma_16x16,64,8192,5376,0.1392,0.3212,0.433,17.55,0.015625
tuna,sliding_o,wmma_16x16,128,8192,5376,0.1473,1.3845,0.106,8.14,0.0
tuna,sliding_o,wmma_16x16,256,8192,5376,1.3735,4.3062,0.319,5.24,0.03125
tuna,sliding_o,wmma_16x16,512,8192,5376,0.3024,10.4693,0.029,4.31,0.0
tuna,sliding_o,wmma_16x32,16,8192,5376,0.1351,0.1607,0.841,8.77,0.015625
tuna,sliding_o,wmma_16x32,32,8192,5376,0.1359,0.1701,0.799,16.57,0.0
tuna,sliding_o,wmma_16x32,64,8192,5376,0.1394,0.3202,0.435,17.6,0.015625
tuna,sliding_o,wmma_16x32,128,8192,5376,0.1467,2.3241,0.063,4.85,0.0
tuna,sliding_o,wmma_16x32,256,8192,5376,1.3899,5.5654,0.25,4.05,0.03125
tuna,sliding_o,wmma_16x32,512,8192,5376,0.3028,12.013,0.025,3.75,0.0
tuna,sliding_o,wmma_16x64,16,8192,5376,0.15,0.1604,0.935,8.78,0.015625
tuna,sliding_o,wmma_16x64,32,8192,5376,0.1364,0.1744,0.782,16.16,0.0
tuna,sliding_o,wmma_16x64,64,8192,5376,0.1393,0.3019,0.461,18.67,0.015625
tuna,sliding_o,wmma_16x64,128,8192,5376,0.1476,1.8379,0.08,6.13,0.0
tuna,sliding_o,wmma_16x64,256,8192,5376,2.9738,4.9629,0.599,4.54,0.03125
tuna,sliding_o,wmma_16x64,512,8192,5376,0.3042,11.551,0.026,3.9,0.0
tuna,sliding_o,wmma_32x64,16,8192,5376,0.1349,0.1727,0.781,8.16,0.015625
tuna,sliding_o,wmma_32x64,32,8192,5376,0.1362,0.1734,0.785,16.25,0.0
tuna,sliding_o,wmma_32x64,64,8192,5376,0.1389,0.3096,0.449,18.21,0.015625
tuna,sliding_o,wmma_32x64,128,8192,5376,0.148,0.7237,0.204,15.58,0.0
tuna,sliding_o,wmma_32x64,256,8192,5376,1.39,1.8642,0.746,12.1,0.03125
tuna,sliding_o,wmma_32x64,512,8192,5376,0.3046,4.8572,0.063,9.28,0.0
tuna,sliding_o,wmma_64x64,16,8192,5376,0.1351,0.3084,0.438,4.57,0.015625
tuna,sliding_o,wmma_64x64,32,8192,5376,0.1358,0.3069,0.443,9.18,0.0
tuna,sliding_o,wmma_64x64,64,8192,5376,0.1387,0.3073,0.451,18.34,0.015625
tuna,sliding_o,wmma_64x64,128,8192,5376,0.1471,0.6081,0.242,18.54,0.0
tuna,sliding_o,wmma_64x64,256,8192,5376,1.3768,1.2229,1.126,18.44,0.03125
tuna,sliding_o,wmma_64x64,512,8192,5376,0.3101,2.4577,0.126,18.35,0.0
tuna,sliding_o,smem_16x64,16,8192,5376,0.135,0.8815,0.153,1.6,0.015625
tuna,sliding_o,smem_16x64,32,8192,5376,0.1367,0.8856,0.154,3.18,0.0
tuna,sliding_o,smem_16x64,64,8192,5376,0.1384,0.8837,0.157,6.38,0.015625
tuna,sliding_o,smem_16x64,128,8192,5376,0.1465,0.9185,0.159,12.28,0.0
tuna,sliding_o,smem_16x64,256,8192,5376,1.5117,1.8377,0.823,12.27,0.03125
tuna,sliding_o,smem_16x64,512,8192,5376,0.3035,3.8283,0.079,11.78,0.0
tuna,sliding_o,smem_16x128,16,8192,5376,0.1353,0.7763,0.174,1.82,0.015625
tuna,sliding_o,smem_16x128,32,8192,5376,0.1361,0.7561,0.18,3.73,0.0
tuna,sliding_o,smem_16x128,64,8192,5376,0.139,0.7843,0.177,7.19,0.015625
