backend,cublas_backend,cublas_algo,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs,cublas_backend,cublas_algo
tuna,lt,default_tensor,ffn_down,smem_32x64,512,21504,5376,0.7946,8.9671,0.089,13.2,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,16,21504,5376,0.3413,1.9806,0.172,1.87,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,32,21504,5376,0.3402,1.9731,0.172,3.75,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,64,21504,5376,0.3548,1.844,0.192,8.02,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,128,21504,5376,0.3769,1.9487,0.193,15.19,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,256,21504,5376,0.4377,4.6192,0.095,12.81,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_32x128,512,21504,5376,0.818,12.8477,0.064,9.21,0.0,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_64x64,16,21504,5376,0.3417,2.6587,0.129,1.39,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_64x64,32,21504,5376,0.3404,2.6499,0.128,2.79,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_64x64,64,21504,5376,0.3555,2.5797,0.138,5.74,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_64x64,128,21504,5376,0.3772,2.6645,0.142,11.11,0.0625,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_64x64,256,21504,5376,0.4238,5.2913,0.08,11.19,0.03125,lt,default_tensor
tuna,lt,default_tensor,ffn_down,smem_64x64,512,21504,5376,0.7971,8.1098,0.098,14.6,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x16,16,5376,2048,0.067,0.0702,0.955,5.02,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x16,32,5376,2048,0.0488,0.0719,0.679,9.8,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x16,64,5376,2048,0.0485,0.091,0.533,15.49,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x16,128,5376,2048,0.0468,0.1621,0.289,17.39,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x16,256,5376,2048,0.0625,0.3316,0.188,17.0,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x16,512,5376,2048,0.1268,0.65,0.195,17.35,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,16,5376,2048,0.0421,0.0677,0.622,5.2,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,32,5376,2048,0.0419,0.0703,0.596,10.02,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,64,5376,2048,0.0518,0.1017,0.509,13.86,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,128,5376,2048,0.0469,0.1731,0.271,16.28,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,256,5376,2048,0.0626,0.3327,0.188,16.94,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x32,512,5376,2048,0.1271,0.9126,0.139,12.35,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x64,16,5376,2048,0.0424,0.0713,0.595,4.94,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x64,32,5376,2048,0.0533,0.0715,0.746,9.86,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x64,64,5376,2048,0.045,0.101,0.445,13.96,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x64,128,5376,2048,0.0468,0.1963,0.238,14.36,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x64,256,5376,2048,0.0643,0.3431,0.187,16.43,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_16x64,512,5376,2048,0.1259,0.6368,0.198,17.7,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,16,5376,2048,0.0559,0.1011,0.553,3.49,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,32,5376,2048,0.0467,0.101,0.463,6.98,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,64,5376,2048,0.0478,0.1059,0.452,13.31,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,128,5376,2048,0.0462,0.1973,0.234,14.28,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,256,5376,2048,0.0626,0.39,0.161,14.45,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_32x64,512,5376,2048,0.1268,0.6798,0.186,16.59,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,16,5376,2048,0.0419,0.2001,0.209,1.76,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,32,5376,2048,0.0521,0.1983,0.263,3.55,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,64,5376,2048,0.0529,0.2002,0.264,7.04,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,128,5376,2048,0.0468,0.1987,0.235,14.18,0.0078125,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,256,5376,2048,0.0626,0.3906,0.16,14.43,0.0,lt,default_tensor
tuna,lt,default_tensor,global_k,wmma_64x64,512,5376,2048,0.1264,0.7747,0.163,14.55,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x64,16,5376,2048,0.0578,0.5669,0.102,0.62,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x64,32,5376,2048,0.048,0.5585,0.086,1.26,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x64,64,5376,2048,0.046,0.5545,0.083,2.54,0.015625,lt,default_tensor
tuna,lt,default_tensor,global_k,smem_16x64,128,5376,2048,0.0466,0.5612,0.083,5.02,0.0078125,lt,default_tensor
