backend,cublas_backend,cublas_algo,op,m,k,n,route,config,chosen_ms,cublas_ms,custom_ms,speedup,weight
sgemm-bf16,lt,h32,ffn_down,8,21504,5376,cublas,bf16_streamk_64x64x64,0.3299,0.3299,0.3347,1.0,60
sgemm-bf16,lt,h32,ffn_down,16,21504,5376,cublas,bf16_streamk_64x64x64,0.3304,0.3304,0.3368,1.0,60
sgemm-bf16,lt,h32,ffn_down,32,21504,5376,cublas,bf16_streamk_64x64x64,0.3327,0.3327,0.3363,1.0,60
sgemm-bf16,lt,h32,ffn_down,64,21504,5376,cublas,bf16_streamk_64x64x64,0.3415,0.3415,0.3405,1.0,60
sgemm-bf16,lt,h32,ffn_down,96,21504,5376,cublas,bf16_cutlass_64x128x64,0.3737,0.3737,0.3598,1.0,60
sgemm-bf16,lt,h32,ffn_down,128,21504,5376,cublas,bf16_streamk_128x128x64,0.3789,0.3789,0.365,1.0,60
sgemm-bf16,lt,h32,ffn_down,256,21504,5376,cublas,bf16_auto_ffn_down,0.4982,0.4982,0.5288,1.0,60
sgemm-bf16,lt,h32,ffn_down,512,21504,5376,cublas,bf16_streamk_128x128x64,0.9061,0.9061,0.9421,1.0,60
sgemm-bf16,lt,h32,ffn_down,1024,21504,5376,cublas,bf16_streamk_128x128x64,1.8709,1.8709,1.9429,1.0,60
