backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
sgemm-bf16,global_k,bf16_64x64,64,5376,2048,1.9134,0.2014,9.501,7.0,0.015625
sgemm-bf16,global_k,bf16_64x64,256,5376,2048,0.0654,0.3941,0.166,14.31,0.0
sgemm-bf16,global_o,bf16_16x32,16,16384,5376,0.2602,0.293,0.888,9.62,0.015625
sgemm-bf16,global_o,bf16_16x32,64,16384,5376,0.2664,0.6222,0.428,18.12,0.03125
sgemm-bf16,global_o,bf16_16x32,256,16384,5376,1.4467,11.7346,0.123,3.84,0.0625
sgemm-bf16,global_o,bf16_32x64,16,16384,5376,0.2629,0.3134,0.839,8.99,0.015625
sgemm-bf16,global_o,bf16_32x64,64,16384,5376,0.2637,0.6119,0.431,18.43,0.03125
sgemm-bf16,global_o,bf16_32x64,256,16384,5376,2.7916,4.3466,0.642,10.38,0.0625
sgemm-bf16,global_o,bf16_64x64,16,16384,5376,0.2587,0.6113,0.423,4.61,0.015625
sgemm-bf16,global_o,bf16_64x64,64,16384,5376,0.2667,0.6108,0.437,18.46,0.03125
sgemm-bf16,global_o,bf16_64x64,256,16384,5376,2.1566,2.4585,0.877,18.34,0.0625
sgemm-bf16,final_logits,bf16_16x32,16,5376,262144,4.0369,12.5263,0.322,3.6,0.0
sgemm-bf16,final_logits,bf16_16x32,64,5376,262144,4.1387,50.7235,0.082,3.56,0.0
sgemm-bf16,final_logits,bf16_16x32,256,5376,262144,5.3844,204.3832,0.026,3.53,0.0
sgemm-bf16,final_logits,bf16_32x64,16,5376,262144,4.0401,10.021,0.403,4.5,0.0
sgemm-bf16,final_logits,bf16_32x64,64,5376,262144,4.1603,20.0287,0.208,9.01,0.0
sgemm-bf16,final_logits,bf16_32x64,256,5376,262144,5.384,80.251,0.067,8.99,0.0
sgemm-bf16,final_logits,bf16_64x64,16,5376,262144,4.0324,9.6211,0.419,4.69,0.0
sgemm-bf16,final_logits,bf16_64x64,64,5376,262144,4.1498,9.5362,0.435,18.92,0.0
sgemm-bf16,final_logits,bf16_64x64,256,5376,262144,5.6983,39.4366,0.144,18.3,0.0
