backend,op,config,m,k,n,cublas_ms,custom_ms,speedup,custom_tflops,max_abs
tuna,global_o,wmma_64x64,256,16384,5376,2.0251,2.4638,0.822,18.3,0.0625
tuna,final_logits,wmma_16x32,16,5376,262144,4.0347,12.5264,0.322,3.6,0.0
tuna,final_logits,wmma_16x32,64,5376,262144,4.1442,50.6841,0.082,3.56,0.0
tuna,final_logits,wmma_16x32,256,5376,262144,5.7165,204.2675,0.028,3.53,0.0
tuna,final_logits,wmma_32x64,16,5376,262144,4.0309,10.0489,0.401,4.49,0.0
tuna,final_logits,wmma_32x64,64,5376,262144,4.1515,20.0075,0.207,9.02,0.0
tuna,final_logits,wmma_32x64,256,5376,262144,5.1838,80.2001,0.065,9.0,0.0
tuna,final_logits,wmma_64x64,16,5376,262144,4.031,9.6453,0.418,4.68,0.0
tuna,final_logits,wmma_64x64,64,5376,262144,4.1476,9.569,0.433,18.85,0.0
tuna,final_logits,wmma_64x64,256,5376,262144,5.2047,39.2267,0.133,18.39,0.0
